timestamp,t,e,tk,lp,pc,ft,v,bp1,sp1,bq1,sq1,ap,oi,l,_id
2024-01-04 09:53:02,tf,NFO,50402,255.75,-27.86,1704342182,,,,,,,,,
2024-01-04 09:53:03,tf,NFO,50402,255.60,-27.90,1704342183,4186215,255.20,255.55,1560,15,,,,
2024-01-04 09:53:04,tf,NFO,50402,255.85,-27.83,1704342184,4186770,255.30,255.85,180,120,,,,
2024-01-04 09:53:04,tf,NFO,50402,255.45,-27.94,1704342184,,,,,,,,,
2024-01-04 09:53:05,tf,NFO,50402,255.20,-28.01,1704342185,4188345,255.20,255.65,1260,135,264.16,,,
2024-01-04 09:53:06,tf,NFO,50402,255.05,-28.05,1704342186,4191720,254.95,255.50,120,105,,,,
2024-01-04 09:53:06,tf,NFO,50402,254.95,-28.08,1704342186,,,,,,,,,
2024-01-04 09:53:07,tf,NFO,50402,254.90,-28.10,1704342187,4192290,254.50,254.95,60,60,264.15,,,
2024-01-04 09:53:08,tf,NFO,50402,254.30,-28.27,1704342188,4192470,254.10,254.60,45,165,,,,
2024-01-04 09:53:08,tf,NFO,50402,254.05,-28.34,1704342188,,,,,,,,,
2024-01-04 09:53:09,tf,NFO,50402,253.40,-28.52,1704342189,4194240,253.30,253.75,30,90,,,,
2024-01-04 09:53:09,tf,NFO,50402,253.70,-28.43,1704342189,,,,,,,,,
2024-01-04 09:53:10,tf,NFO,50402,254.05,-28.34,1704342190,,,,,,,,,
2024-01-04 09:53:11,tf,NFO,50402,253.15,-28.59,1704342191,4195125,253.15,253.70,135,405,,,,
2024-01-04 09:53:11,tf,NFO,50402,253.60,-28.46,1704342191,,,,,,,,,
2024-01-04 09:53:12,tf,NFO,50402,253.35,-28.53,1704342192,4196280,253.00,253.35,,45,264.14,,,
2024-01-04 09:53:13,tf,NFO,50402,253.45,-28.50,1704342193,4196625,,253.50,75,450,,,,
2024-01-04 09:53:13,tf,NFO,50402,253.00,-28.63,1704342193,,,,,,,,,
2024-01-04 09:53:14,tf,NFO,50402,252.65,-28.73,1704342194,4197075,252.30,252.70,60,195,,,,
2024-01-04 09:53:14,tf,NFO,50402,252.00,-28.91,1704342194,,,,,,,,,
2024-01-04 09:53:15,tf,NFO,50402,252.40,-28.80,1704342195,4200120,251.70,252.20,210,225,264.13,,,
2024-01-04 09:53:16,tf,NFO,50402,251.10,-29.17,1704342196,4201485,250.70,251.20,75,270,,,,
2024-01-04 09:53:17,tf,NFO,50402,251.70,-29.00,1704342197,4201980,252.00,252.40,,195,,,,
2024-01-04 09:53:17,tf,NFO,50402,251.85,-28.96,1704342197,,,,,,,,,
2024-01-04 09:53:18,tf,NFO,50402,251.35,-29.10,1704342198,4204110,251.25,251.65,45,180,264.12,,,
2024-01-04 09:53:18,tf,NFO,50402,251.25,-29.13,1704342198,,,,,,,,,
2024-01-04 09:53:19,tf,NFO,50402,252.00,-28.91,1704342199,4204800,251.95,252.15,135,45,,,,
2024-01-04 09:53:20,tf,NFO,50402,251.60,-29.03,1704342200,4205040,251.40,251.65,15,105,,,,
2024-01-04 09:53:20,tf,NFO,50402,251.35,-29.10,1704342200,,,,,,,,,
2024-01-04 09:53:21,tf,NFO,50402,250.00,-29.48,1704342201,4209435,250.15,250.65,180,15,264.10,,,
2024-01-04 09:53:21,tf,NFO,50402,250.65,-29.29,1704342201,,,,,,,,,
2024-01-04 09:53:22,tf,NFO,50402,250.90,-29.22,1704342202,4209600,250.60,251.05,480,30,,,,
2024-01-04 09:53:22,tf,NFO,50402,250.80,-29.25,1704342202,,,,,,,,,
2024-01-04 09:53:23,tf,NFO,50402,250.95,-29.21,1704342203,4210095,250.80,251.35,390,270,,,,
2024-01-04 09:53:23,tf,NFO,50402,250.90,-29.22,1704342203,,,,,,,,,
2024-01-04 09:53:24,tf,NFO,50402,250.95,-29.21,1704342204,4210785,251.15,251.65,210,30,,,,
2024-01-04 09:53:24,tf,NFO,50402,251.45,-29.07,1704342204,,,,,,,,,
2024-01-04 09:53:25,tf,NFO,50402,250.80,-29.25,1704342205,4211565,250.65,251.20,90,120,,,,
2024-01-04 09:53:26,tf,NFO,50402,251.30,-29.11,1704342206,,,,,,,,,
2024-01-04 09:53:27,tf,NFO,50402,250.95,-29.21,1704342207,4213995,250.35,250.90,165,30,,,,
2024-01-04 09:53:27,tf,NFO,50402,250.60,-29.31,1704342207,,,,,,,,,
2024-01-04 09:53:28,tf,NFO,50402,250.50,-29.34,1704342208,4215495,250.30,250.80,135,225,,,,
2024-01-04 09:53:28,tf,NFO,50402,250.45,-29.35,1704342208,,,,,,,,,
2024-01-04 09:53:29,tf,NFO,50402,250.75,-29.27,1704342209,4217520,250.75,251.20,285,120,264.08,,,
2024-01-04 09:53:30,tf,NFO,50402,250.40,-29.37,1704342210,4217715,250.00,250.40,15,1770,,,,
2024-01-04 09:53:30,tf,NFO,50402,250.15,-29.44,1704342210,,,,,,,1265880,,
2024-01-04 09:53:31,tf,NFO,50402,250.60,-29.31,1704342211,,,,,,,,,
2024-01-04 09:53:32,tf,NFO,50402,250.90,-29.22,1704342212,4220595,250.85,251.35,165,150,,,,
2024-01-04 09:53:32,tf,NFO,50402,250.35,-29.38,1704342212,,,,,,,,,
2024-01-04 09:53:33,tf,NFO,50402,251.10,-29.17,1704342213,4221735,250.65,251.15,330,30,,,,
2024-01-04 09:53:34,tf,NFO,50402,250.75,-29.27,1704342214,4221915,250.35,250.85,195,255,,,,
2024-01-04 09:53:35,tf,NFO,50402,251.25,-29.13,1704342215,4222245,250.60,251.10,435,270,264.06,,,
2024-01-04 09:53:35,tf,NFO,50402,251.05,-29.18,1704342215,,,,,,,,,
2024-01-04 09:53:36,tf,NFO,50402,250.75,-29.27,1704342216,4223340,250.30,250.75,135,15,,,,
2024-01-04 09:53:36,tf,NFO,50402,250.30,-29.39,1704342216,,,,,,,,,
2024-01-04 09:53:37,tf,NFO,50402,250.05,-29.46,1704342217,,,,,,,,,
2024-01-04 09:53:38,tf,NFO,50402,249.65,-29.58,1704342218,4225350,249.65,250.20,120,675,264.05,,,
2024-01-04 09:53:38,tf,NFO,50402,250.40,-29.37,1704342218,,,,,,,,,
2024-01-04 09:53:39,tf,NFO,50402,249.95,-29.49,1704342219,4228365,249.90,250.50,210,450,264.04,,,
2024-01-04 09:53:39,tf,NFO,50402,249.00,-29.76,1704342219,,,,,,,,,
2024-01-04 09:53:40,tf,NFO,50402,248.80,-29.82,1704342220,4230540,248.30,248.80,90,195,,,,
2024-01-04 09:53:40,tf,NFO,50402,248.25,-29.97,1704342220,,,,,,,,,
2024-01-04 09:53:41,tf,NFO,50402,246.55,-30.45,1704342221,,,,,,,,,
2024-01-04 09:53:42,tf,NFO,50402,246.35,-30.51,1704342222,,,,,,,,,
2024-01-04 09:53:43,tf,NFO,50402,247.10,-30.30,1704342223,4245390,246.80,247.35,450,135,263.98,,,
2024-01-04 09:53:44,tf,NFO,50402,246.45,-30.48,1704342224,4251270,246.50,247.00,15,375,263.95,,,
2024-01-04 09:53:44,tf,NFO,50402,246.40,-30.49,1704342224,,,,,,,,,
2024-01-04 09:53:45,tf,NFO,50402,245.50,-30.75,1704342225,4260270,245.50,245.80,225,180,263.91,,,
2024-01-04 09:53:45,tf,NFO,50402,244.65,-30.99,1704342225,,,,,,,,,
2024-01-04 09:53:46,tf,NFO,50402,242.90,-31.48,1704342226,,,,,,,,,
2024-01-04 09:53:47,tf,NFO,50402,242.95,-31.47,1704342227,4267695,242.55,242.90,60,,,,,
2024-01-04 09:53:47,tf,NFO,50402,242.20,-31.68,1704342227,,,,,,,,,
2024-01-04 09:53:48,tf,NFO,50402,241.45,-31.89,1704342228,4275135,241.15,241.55,,15,263.84,,,
2024-01-04 09:53:48,tf,NFO,50402,241.35,-31.92,1704342228,,,,,,,,,
