Label,Timestamp,Value,Difference
YES,2024-02-20 10:30:00,46895.15,
seven,2024-02-20 10:30:00,46958.4,
seven,2024-02-20 10:30:00,46958.4,
NO,2024-02-20 10:32:00,46902.22,52.37999999999738
RED,2024-02-20 10:33:00,46873.18,
YES,2024-02-20 10:47:00,46807.5,
NO,2024-02-20 10:51:00,46827.29,7.260000000002037
RED,2024-02-20 10:52:00,46815.88,
YES,2024-02-20 10:57:00,46823.95,
seven,2024-02-20 10:57:00,46882.65,
seven,2024-02-20 10:57:00,46882.65,
NO,2024-02-20 11:02:00,46854.16,11.989999999997963
RED,2024-02-20 11:03:00,46853.01,
YES,2024-02-20 11:06:00,46861.8,
seven,2024-02-20 11:06:00,46887.7,
seven,2024-02-20 11:06:00,46887.7,
NO,2024-02-20 11:07:00,46857.54,4.260000000002037
RED,2024-02-20 11:08:00,46854.29,
YES,2024-02-20 11:10:00,46872.15,
seven,2024-02-20 11:10:00,46885.25,
seven,2024-02-20 11:10:00,46885.25,
NO,2024-02-20 11:12:00,46863.94,3.7599999999947613
RED,2024-02-20 11:13:00,46863.82,
YES,2024-02-20 11:15:00,46881.95,
NO,2024-02-20 11:22:00,46919.29,24.860000000000582
RED,2024-02-20 11:23:00,46920.56,
YES,2024-02-20 11:29:00,46909.45,
NO,2024-02-20 11:34:00,46936.85,17.400000000001455
RED,2024-02-20 11:35:00,46933.46,
YES,2024-02-20 11:47:00,46856.5,
NO,2024-02-20 12:11:00,46955.25,9.5
RED,2024-02-20 12:12:00,46949.75,
YES,2024-02-20 12:23:00,46931.1,
NO,2024-02-20 12:27:00,46938.86,11.540000000000873
RED,2024-02-20 12:28:00,46936.45,
YES,2024-02-20 12:30:00,46944.3,
NO,2024-02-20 12:31:00,46936.72,7.580000000001746
RED,2024-02-20 12:32:00,46926.09,
YES,2024-02-20 12:36:00,46934.35,
NO,2024-02-20 12:38:00,46936.39,1.860000000000582
YES,2024-02-20 12:40:00,46943.2,
seven,2024-02-20 12:40:00,46955.0,
seven,2024-02-20 12:40:00,46955.0,
NO,2024-02-20 12:45:00,46953.45,13.400000000001455
RED,2024-02-20 12:46:00,46951.5,
YES,2024-02-20 12:52:00,46950.35,
NO,2024-02-20 12:51:00,46955.1,6.25
RED,2024-02-20 12:52:00,46955.0,
YES,2024-02-20 12:54:00,46965.45,
NO,2024-02-20 12:59:00,46970.77,7.030000000006112
RED,2024-02-20 13:00:00,46958.51,
YES,2024-02-20 13:07:00,46973.3,
NO,2024-02-20 13:09:00,46967.78,6.669999999998254
RED,2024-02-20 13:10:00,46962.7,
YES,2024-02-20 13:23:00,46958.3,
seven,2024-02-20 13:23:00,46983.95,
seven,2024-02-20 13:23:00,46983.95,
NO,2024-02-20 13:32:00,47010.26,33.04000000000087
RED,2024-02-20 13:33:00,47001.94,
YES,2024-02-20 13:47:00,46961.75,
NO,2024-02-20 13:46:00,46964.48,5.619999999995343
RED,2024-02-20 13:47:00,46967.5,
YES,2024-02-20 14:08:00,46849.05,
NO,2024-02-20 14:21:00,46938.55,3.8999999999941792
YES,2024-02-20 14:23:00,46950.05,
seven,2024-02-20 14:23:00,46976.8,
seven,2024-02-20 14:23:00,46976.8,
NO,2024-02-20 14:26:00,46970.11,15.589999999996508
YES,2024-02-20 14:28:00,46989.8,
seven,2024-02-20 14:28:00,47019.75,
seven,2024-02-20 14:28:00,47019.75,
NO,2024-02-20 14:36:00,47037.92,29.9800000000032
RED,2024-02-20 14:37:00,47035.23,
YES,2024-02-20 14:52:00,47001.15,
seven,2024-02-20 14:52:00,47031.3,
seven,2024-02-20 14:52:00,47031.3,
NO,2024-02-20 14:55:00,47006.6,11.25
RED,2024-02-20 14:56:00,47006.52,
YES,2024-02-20 15:02:00,47031.45,
seven,2024-02-20 15:02:00,47070.2,
seven,2024-02-20 15:02:00,47070.2,
NO,2024-02-20 15:08:00,47085.44,34.20999999999913
RED,2024-02-20 15:09:00,47081.78,
YES,2024-02-20 15:16:00,47102.9,
seven,2024-02-20 15:16:00,47119.45,
seven,2024-02-20 15:16:00,47119.45,
NO,2024-02-20 15:19:00,47105.64,15.010000000002037
RED,2024-02-20 15:20:00,47104.16,
YES,2024-02-20 15:22:00,47111.85,
seven,2024-02-20 15:22:00,47127.75,
seven,2024-02-20 15:22:00,47127.75,
NO,2024-02-20 15:29:00,47117.31,10.740000000005239
RED,2024-02-20 15:32:00,47094.2,
