Label,Timestamp,Value,Difference
YES,2024-03-20 09:58:00,442.2,
NO,2024-03-20 09:59:00,427.56,14.639999999999986
YES,2024-03-20 10:37:00,314.35,
NO,2024-03-20 10:41:00,318.6,-4.25
YES,2024-03-20 10:51:00,261.3,
NO,2024-03-20 11:04:00,318.96,-57.65999999999997
YES,2024-03-20 11:07:00,322.9,
NO,2024-03-20 11:11:00,323.01,-0.11000000000001364
YES,2024-03-20 11:20:00,318.9,
NO,2024-03-20 11:21:00,309.2,9.699999999999989
YES,2024-03-20 11:27:00,301.0,
NO,2024-03-20 11:34:00,303.14,-2.1399999999999864
YES,2024-03-20 11:37:00,307.0,
NO,2024-03-20 11:38:00,302.83,4.170000000000016
YES,2024-03-20 11:41:00,309.0,
NO,2024-03-20 11:48:00,352.89,-43.889999999999986
YES,2024-03-20 11:54:00,361.25,
NO,2024-03-20 11:57:00,356.71,4.5400000000000205
YES,2024-03-20 12:02:00,356.9,
NO,2024-03-20 12:03:00,351.34,5.560000000000002
YES,2024-03-20 12:10:00,362.0,
NO,2024-03-20 12:12:00,354.11,7.889999999999986
YES,2024-03-20 12:16:00,356.2,
NO,2024-03-20 12:24:00,412.24,-56.04000000000002
YES,2024-03-20 12:35:00,404.65,
NO,2024-03-20 12:45:00,430.2,-25.55000000000001
YES,2024-03-20 12:49:00,430.85,
NO,2024-03-20 12:53:00,431.42,-0.5699999999999932
YES,2024-03-20 13:04:00,407.5,
NO,2024-03-20 13:58:00,438.78,-31.279999999999973
YES,2024-03-20 14:17:00,390.0,
NO,2024-03-20 14:21:00,368.95,21.05000000000001
YES,2024-03-20 14:28:00,341.2,
NO,2024-03-20 14:31:00,340.17,1.0299999999999727
YES,2024-03-20 14:36:00,337.8,
NO,2024-03-20 14:37:00,332.58,5.220000000000027
YES,2024-03-20 14:40:00,335.35,
NO,2024-03-20 14:42:00,341.92,-6.569999999999993
YES,2024-03-20 14:45:00,354.2,
NO,2024-03-20 14:48:00,347.51,6.689999999999998
YES,2024-03-20 14:50:00,349.3,
NO,2024-03-20 14:53:00,349.67,-0.37000000000000455
YES,2024-03-20 14:58:00,352.6,
NO,2024-03-20 15:02:00,352.91,-0.3100000000000023
YES,2024-03-20 15:14:00,336.7,
NO,2024-03-20 15:22:00,349.94,-13.240000000000009
YES,2024-03-20 15:25:00,350.1,
NO,2024-03-20 15:26:00,344.55,5.550000000000011
