timestamp,t,e,tk,lp,pc,ft,v,bp1,sp1,bq1,sq1,ap,oi,_id
2024-01-02 11:59:09,tf,NFO,46832,275.80,123.05,1704176949,71365035,275.90,276.20,150,15,,,
2024-01-02 11:59:09,tf,NFO,46832,275.90,123.13,1704176949,,,,,,,,
2024-01-02 11:59:10,tf,NFO,46832,275.80,123.05,1704176950,,,,,,,,
2024-01-02 11:59:10,tf,NFO,46832,275.95,123.17,1704176950,71365680,275.85,276.40,255,60,,,
2024-01-02 11:59:11,tf,NFO,46832,276.00,123.21,1704176950,71366310,276.35,276.80,30,90,,,
2024-01-02 11:59:11,tf,NFO,46832,277.30,124.26,1704176951,,,,,,,,
2024-01-02 11:59:12,tf,NFO,46832,278.30,125.07,1704176951,71374290,278.40,278.85,60,,218.96,,
2024-01-02 11:59:12,tf,NFO,46832,278.65,125.35,1704176952,,,,,,,,
2024-01-02 11:59:13,tf,NFO,46832,278.00,124.83,1704176952,71390550,277.55,278.20,210,420,218.97,,
2024-01-02 11:59:14,tf,NFO,46832,278.55,125.27,1704176954,71395260,277.75,278.40,165,165,218.98,,
2024-01-02 11:59:15,tf,NFO,46832,277.95,124.79,1704176954,71396535,277.40,277.95,375,30,,,
2024-01-02 11:59:15,tf,NFO,46832,277.60,124.50,1704176955,,,,,,,,
2024-01-02 11:59:16,tf,NFO,46832,279.85,126.32,1704176956,71397825,279.30,279.65,15,,,,
2024-01-02 11:59:16,tf,NFO,46832,280.00,126.45,1704176956,,,,,,,,
2024-01-02 11:59:17,tf,NFO,46832,279.60,126.12,1704176957,71400630,279.80,280.00,90,60,,,
2024-01-02 11:59:18,tf,NFO,46832,280.20,126.61,1704176957,71402610,279.65,280.20,210,45,,,
2024-01-02 11:59:18,tf,NFO,46832,278.25,125.03,1704176958,,,,,,,,
2024-01-02 11:59:19,tf,NFO,46832,280.30,126.69,1704176958,71404575,280.25,280.75,75,180,,,
2024-01-02 11:59:19,tf,NFO,46832,279.65,126.16,1704176959,,,,,,,,
2024-01-02 11:59:20,tf,NFO,46832,279.80,126.28,1704176959,71407155,279.50,279.75,150,90,218.99,,
2024-01-02 11:59:20,tf,NFO,46832,278.45,125.19,1704176960,,,,,,,,
2024-01-02 11:59:21,tf,NFO,46832,278.55,125.27,1704176961,71412420,278.55,278.95,15,135,,,
2024-01-02 11:59:21,tf,NFO,46832,278.95,125.60,1704176961,,,,,,,,
2024-01-02 11:59:22,tf,NFO,46832,278.00,124.83,1704176962,,,,,,,,
2024-01-02 11:59:22,tf,NFO,46832,277.20,124.18,1704176962,71414175,277.20,277.55,,120,,,
2024-01-02 11:59:23,tf,NFO,46832,277.55,124.46,1704176963,,,,,,,,
2024-01-02 11:59:23,tf,NFO,46832,277.35,124.30,1704176963,71415570,276.85,277.40,435,30,,,
2024-01-02 11:59:24,tf,NFO,46832,277.85,124.71,1704176964,,,,,,,,
2024-01-02 11:59:24,tf,NFO,46832,277.70,124.59,1704176964,71416050,277.25,277.85,210,150,,,
