Label,Timestamp,Value,Difference
YES,2024-01-15 10:25:00,247.75,
seven,2024-01-15 10:25:00,268.0,
seven,2024-01-15 10:25:00,268.0,
NO,2024-01-15 10:45:00,262.34,12.210000000000036
RED,2024-01-15 10:50:00,263.69,
YES,2024-01-15 11:00:00,279.5,
NO,2024-01-15 11:25:00,272.14,11.660000000000025
RED,2024-01-15 11:30:00,265.69,
YES,2024-01-15 11:50:00,279.2,
NO,2024-01-15 13:25:00,326.76,37.24000000000001
RED,2024-01-15 13:30:00,320.69,
YES,2024-01-15 14:00:00,325.6,
NO,2024-01-15 14:10:00,319.77,2.830000000000041
RED,2024-01-15 14:15:00,305.98,
YES,2024-01-15 14:45:00,282.6,
seven,2024-01-15 14:45:00,333.45,
seven,2024-01-15 14:45:00,333.45,
NO,2024-01-15 15:10:00,309.46,-2.2099999999999795
