Label,Timestamp,Value,Difference
YES,2024-02-15 14:37:00,46125.05,
seven,2024-02-15 14:37:00,46141.95,
seven,2024-02-15 14:37:00,46141.95,
NO,2024-02-15 14:42:00,46137.88,13.069999999999709
YES,2024-02-15 14:44:00,46153.05,
seven,2024-02-15 14:44:00,46168.4,
seven,2024-02-15 14:44:00,46168.4,
NO,2024-02-15 14:48:00,46157.69,15.309999999997672
RED,2024-02-15 14:49:00,46155.24,
YES,2024-02-15 14:51:00,46177.65,
seven,2024-02-15 14:51:00,46211.2,
seven,2024-02-15 14:51:00,46211.2,
NO,2024-02-15 15:09:00,46194.61,1.6900000000023283
YES,2024-02-15 15:14:00,46196.95,
seven,2024-02-15 15:14:00,46213.6,
seven,2024-02-15 15:14:00,46213.6,
NO,2024-02-15 15:17:00,46204.19,9.610000000000582
RED,2024-02-15 15:18:00,46186.04,
YES,2024-02-15 15:21:00,46206.9,
NO,2024-02-15 15:27:00,46273.4,16.25
RED,2024-02-15 15:28:00,46265.12,
