Label,Timestamp,Value,Difference
YES,2024-03-20 09:50:00,369.75,
NO,2024-03-20 09:51:00,364.62,5.1299999999999955
YES,2024-03-20 09:53:00,368.0,
NO,2024-03-20 09:56:00,378.3,-10.300000000000011
YES,2024-03-20 09:59:00,384.25,
NO,2024-03-20 10:04:00,445.52,-61.26999999999998
YES,2024-03-20 10:06:00,445.35,
NO,2024-03-20 10:16:00,521.29,-75.93999999999994
YES,2024-03-20 10:21:00,525.15,
seven,2024-03-20 10:23:00,560.45,
NO,2024-03-20 10:25:00,535.35,-10.200000000000045
YES,2024-03-20 10:30:00,546.35,
seven,2024-03-20 10:31:00,580.0,
NO,2024-03-20 10:33:00,542.66,3.6900000000000546
YES,2024-03-20 10:35:00,550.65,
seven,2024-03-20 10:35:00,558.6,
NO,2024-03-20 10:36:00,545.71,4.939999999999941
seven,2024-03-20 10:40:00,556.6,
seven,2024-03-20 10:42:00,565.0,
YES,2024-03-20 10:43:00,560.0,
seven,2024-03-20 10:43:00,656.0,
seven,2024-03-20 10:44:00,714.65,
seven,2024-03-20 10:45:00,679.75,
seven,2024-03-20 10:46:00,682.65,
seven,2024-03-20 10:47:00,696.0,
seven,2024-03-20 10:48:00,697.95,
NO,2024-03-20 10:49:00,673.46,-113.46000000000004
seven,2024-03-20 10:49:00,683.45,
seven,2024-03-20 10:50:00,669.9,
seven,2024-03-20 10:51:00,650.0,
seven,2024-03-20 10:52:00,630.35,
seven,2024-03-20 10:53:00,621.95,
seven,2024-03-20 10:54:00,620.6,
seven,2024-03-20 10:55:00,621.8,
seven,2024-03-20 10:56:00,622.85,
seven,2024-03-20 10:57:00,603.15,
seven,2024-03-20 10:58:00,592.0,
YES,2024-03-20 11:12:00,503.05,
NO,2024-03-20 11:19:00,506.21,-3.159999999999968
YES,2024-03-20 11:22:00,517.2,
seven,2024-03-20 11:24:00,559.2,
seven,2024-03-20 11:25:00,568.0,
NO,2024-03-20 11:27:00,536.29,-19.089999999999918
YES,2024-03-20 11:35:00,534.9,
NO,2024-03-20 11:36:00,531.89,3.009999999999991
YES,2024-03-20 11:39:00,534.8,
NO,2024-03-20 11:40:00,528.56,6.240000000000009
YES,2024-03-20 11:49:00,456.9,
NO,2024-03-20 11:53:00,448.79,8.109999999999957
YES,2024-03-20 11:58:00,446.3,
NO,2024-03-20 12:00:00,447.84,-1.5399999999999636
YES,2024-03-20 12:06:00,450.8,
NO,2024-03-20 12:09:00,439.95,10.850000000000023
YES,2024-03-20 12:14:00,444.25,
NO,2024-03-20 12:15:00,435.9,8.350000000000023
YES,2024-03-20 12:28:00,367.05,
NO,2024-03-20 12:32:00,381.72,-14.670000000000016
YES,2024-03-20 12:46:00,347.65,
NO,2024-03-20 12:48:00,350.24,-2.590000000000032
YES,2024-03-20 12:54:00,351.85,
NO,2024-03-20 12:55:00,348.81,3.0400000000000205
YES,2024-03-20 12:57:00,358.4,
NO,2024-03-20 13:02:00,373.8,-15.400000000000034
YES,2024-03-20 13:18:00,317.55,
NO,2024-03-20 13:20:00,314.25,3.3000000000000114
YES,2024-03-20 13:27:00,287.35,
NO,2024-03-20 13:33:00,302.6,-15.25
YES,2024-03-20 13:35:00,314.6,
NO,2024-03-20 13:37:00,307.56,7.0400000000000205
YES,2024-03-20 13:43:00,308.4,
NO,2024-03-20 13:44:00,298.16,10.239999999999952
YES,2024-03-20 13:48:00,302.3,
NO,2024-03-20 13:56:00,319.88,-17.579999999999984
YES,2024-03-20 13:58:00,324.4,
NO,2024-03-20 14:06:00,354.94,-30.54000000000002
YES,2024-03-20 14:09:00,358.3,
NO,2024-03-20 14:14:00,375.65,-17.349999999999966
YES,2024-03-20 14:21:00,359.05,
NO,2024-03-20 14:27:00,411.16,-52.110000000000014
YES,2024-03-20 14:32:00,408.5,
NO,2024-03-20 14:35:00,410.94,-2.4399999999999977
YES,2024-03-20 14:38:00,422.0,
NO,2024-03-20 14:40:00,395.58,26.420000000000016
YES,2024-03-20 14:43:00,414.8,
NO,2024-03-20 14:44:00,394.79,20.00999999999999
YES,2024-03-20 14:48:00,395.8,
NO,2024-03-20 14:50:00,394.81,0.9900000000000091
YES,2024-03-20 14:54:00,396.3,
NO,2024-03-20 14:57:00,399.59,-3.2899999999999636
YES,2024-03-20 15:03:00,395.0,
NO,2024-03-20 15:09:00,402.98,-7.980000000000018
YES,2024-03-20 15:13:00,409.75,
NO,2024-03-20 15:14:00,398.29,11.45999999999998
YES,2024-03-20 15:23:00,400.0,
