Label,Timestamp,Value,Difference
YES,2024-02-27 10:10:00,320.65,
NO,2024-02-27 10:35:00,362.41,7.539999999999964
RED,2024-02-27 10:40:00,347.34,
YES,2024-02-27 11:15:00,308.7,
NO,2024-02-27 11:20:00,296.14,12.560000000000002
RED,2024-02-27 11:25:00,275.88,
YES,2024-02-27 11:55:00,289.85,
NO,2024-02-27 11:50:00,289.24,2.259999999999991
RED,2024-02-27 11:55:00,288.5,
YES,2024-02-27 12:05:00,308.3,
NO,2024-02-27 12:15:00,305.3,12.199999999999989
RED,2024-02-27 12:20:00,302.41,
YES,2024-02-27 12:35:00,323.1,
NO,2024-02-27 12:40:00,288.05,35.05000000000001
RED,2024-02-27 12:45:00,266.31,
YES,2024-02-27 13:40:00,208.15,
NO,2024-02-27 14:10:00,224.21,19.439999999999998
RED,2024-02-27 14:15:00,210.88,
YES,2024-02-27 14:50:00,222.35,
NO,2024-02-27 15:05:00,221.29,6.310000000000002
