timestamp,t,e,tk,lp,pc,ft,v,bp1,sp1,bq1,sq1,ap,oi,h,_id
2023-12-08 13:36:19.310989,tf,NFO,39172,260.65,2.18,1702022776,52027470,260.15,260.60,165,30,,,,
2023-12-08 13:36:19.427135,tf,NFO,39172,260.45,2.10,1702022776,,,,,,,,,
2023-12-08 13:36:19.429338,tf,NFO,39172,258.20,1.22,1702022777,52029825,258.05,258.40,15,,,,,
2023-12-08 13:36:19.430856,tf,NFO,39172,256.95,0.73,1702022777,,,,,,,,,
2023-12-08 13:36:19.433860,tf,NFO,39172,257.15,0.80,1702022778,52041330,256.90,257.25,105,75,292.49,,,
2023-12-08 13:36:19.435859,tf,NFO,39172,257.80,1.06,1702022778,,,,,,,,,
2023-12-08 13:36:19.438855,tf,NFO,39172,258.05,1.16,1702022779,52044180,258.50,258.95,165,15,,,,
2023-12-08 13:36:19.709372,tf,NFO,39172,258.90,1.49,1702022779,52044690,258.65,,360,45,,,,
2023-12-08 13:36:19.908269,tf,NFO,39172,259.15,1.59,1702022779,,,,,,,,,
2023-12-08 13:36:20.910837,tf,NFO,39172,257.35,0.88,1702022780,52046250,257.35,257.80,150,15,,,,
2023-12-08 13:36:21.911718,tf,NFO,39172,257.90,1.10,1702022781,52053555,257.95,258.25,15,30,292.48,,,
2023-12-08 13:36:22.911828,tf,NFO,39172,258.40,1.29,1702022782,,,,,,,,,
2023-12-08 13:36:23.110441,tf,NFO,39172,258.50,1.33,1702022783,52059810,258.15,258.55,120,45,,,,
2023-12-08 13:36:23.712296,tf,NFO,39172,259.45,1.71,1702022783,52060485,259.05,259.45,105,195,,,,
2023-12-08 13:36:23.920287,tf,NFO,39172,259.50,1.72,1702022783,,,,,,,,,
2023-12-08 13:36:24.915322,tf,NFO,39172,259.15,1.59,1702022784,,,,,,,,,
2023-12-08 13:36:25.910374,tf,NFO,39172,258.90,1.49,1702022785,,,,,,,,,
2023-12-08 13:36:26.117542,tf,NFO,39172,259.50,1.72,1702022786,52069005,259.15,259.45,180,60,,,,
2023-12-08 13:36:26.915628,tf,NFO,39172,259.45,1.71,1702022786,,,,,,,,,
2023-12-08 13:36:27.116834,tf,NFO,39172,259.60,1.76,1702022787,52070295,259.60,259.80,105,15,,,,
2023-12-08 13:36:27.716252,tf,NFO,39172,259.90,1.88,1702022787,52073220,,259.95,,,,,,
2023-12-08 13:36:28.719865,tf,NFO,39172,260.00,1.92,1702022788,52075500,259.90,260.00,210,465,,,,
2023-12-08 13:36:28.917744,tf,NFO,39172,259.95,1.90,1702022788,,,,,,,,,
2023-12-08 13:36:29.719956,tf,NFO,39172,260.60,2.16,1702022789,52079925,260.40,260.70,90,255,292.46,,,
2023-12-08 13:36:29.914834,tf,NFO,39172,260.65,2.18,1702022789,,,,,,,,,
2023-12-08 13:36:30.913211,tf,NFO,39172,262.05,2.72,1702022790,,,,,,,,,
2023-12-08 13:36:31.730704,tf,NFO,39172,260.90,2.27,1702022791,52091430,260.50,260.95,105,45,,,,
2023-12-08 13:36:31.912590,tf,NFO,39172,261.35,2.45,1702022791,,,,,,,,,
2023-12-08 13:36:32.728082,tf,NFO,39172,261.45,2.49,1702022792,52102515,261.10,261.60,,705,292.45,,,
2023-12-08 13:36:32.915969,tf,NFO,39172,261.75,2.61,1702022792,,,,,,,,,
2023-12-08 13:36:33.730571,tf,NFO,39172,260.75,2.21,1702022793,52105845,260.70,261.15,135,60,,,,
2023-12-08 13:36:33.914453,tf,NFO,39172,261.25,2.41,1702022793,,,,,,,,,
2023-12-08 13:36:34.728357,tf,NFO,39172,261.65,2.57,1702022794,52110195,261.15,261.65,450,,,,,
2023-12-08 13:36:35.746629,tf,NFO,39172,261.70,2.59,1702022795,52112040,261.20,,60,45,,,,
2023-12-08 13:36:35.916523,tf,NFO,39172,261.20,2.39,1702022795,,,,,,,,,
2023-12-08 13:36:35.920519,tf,NFO,39172,261.70,2.59,1702022795,52112040,261.20,,60,45,,,,
2023-12-08 13:36:35.927517,tf,NFO,39172,261.20,2.39,1702022795,,,,,,,,,
2023-12-08 13:36:36.735505,tf,NFO,39172,262.75,3.00,1702022796,52118250,262.50,262.80,75,90,292.44,,,
2023-12-08 13:36:36.736503,tf,NFO,39172,262.75,3.00,1702022796,52118250,262.50,262.80,75,90,292.44,,,
2023-12-08 13:36:36.915391,tf,NFO,39172,262.60,2.94,1702022796,,,,,,,,,
2023-12-08 13:36:36.915391,tf,NFO,39172,262.60,2.94,1702022796,,,,,,,,,
2023-12-08 13:36:37.733390,tf,NFO,39172,262.90,3.06,1702022797,52124250,262.40,,195,360,,,,
2023-12-08 13:36:37.733390,tf,NFO,39172,262.90,3.06,1702022797,52124250,262.40,,195,360,,,,
2023-12-08 13:36:38.736371,tf,NFO,39172,263.80,3.41,1702022798,52127535,263.35,263.80,240,45,,,,
2023-12-08 13:36:38.736371,tf,NFO,39172,263.80,3.41,1702022798,52127535,263.35,263.80,240,45,,,,
2023-12-08 13:36:38.917901,tf,NFO,39172,263.35,3.23,1702022798,,,,,,,,,
2023-12-08 13:36:38.918900,tf,NFO,39172,263.35,3.23,1702022798,,,,,,,,,
2023-12-08 13:36:39.775483,tf,NFO,39172,266.15,4.33,1702022799,52141185,266.15,266.35,75,15,292.43,,,
2023-12-08 13:36:39.775483,tf,NFO,39172,266.15,4.33,1702022799,52141185,266.15,266.35,75,15,292.43,,,
2023-12-08 13:36:39.919144,tf,NFO,39172,265.75,4.17,1702022799,,,,,,,,,
2023-12-08 13:36:39.920147,tf,NFO,39172,265.75,4.17,1702022799,,,,,,,,,
2023-12-08 13:36:40.738613,tf,NFO,39172,266.60,4.51,1702022800,52146975,266.20,266.65,135,45,,,,
2023-12-08 13:36:40.739611,tf,NFO,39172,266.60,4.51,1702022800,52146975,266.20,266.65,135,45,,,,
2023-12-08 13:36:40.921886,tf,NFO,39172,266.40,4.43,1702022800,,,,,,,,,
2023-12-08 13:36:40.921886,tf,NFO,39172,266.40,4.43,1702022800,,,,,,,,,
2023-12-08 13:36:41.742085,tf,NFO,39172,268.60,5.29,1702022801,52163805,268.25,268.60,30,15,292.42,,,
2023-12-08 13:36:41.742085,tf,NFO,39172,268.60,5.29,1702022801,52163805,268.25,268.60,30,15,292.42,,,
2023-12-08 13:36:41.920950,tf,NFO,39172,267.75,4.96,1702022801,,,,,,,,,
2023-12-08 13:36:41.922953,tf,NFO,39172,267.75,4.96,1702022801,,,,,,,,,
2023-12-08 13:36:42.751711,tf,NFO,39172,265.65,4.14,1702022802,52169475,265.20,265.65,75,225,,,,
2023-12-08 13:36:42.753710,tf,NFO,39172,265.65,4.14,1702022802,52169475,265.20,265.65,75,225,,,,
2023-12-08 13:36:42.920605,tf,NFO,39172,266.30,4.39,1702022802,,,,,,,,,
2023-12-08 13:36:42.920605,tf,NFO,39172,266.30,4.39,1702022802,,,,,,,,,
2023-12-08 13:36:43.748970,tf,NFO,39172,266.05,4.29,1702022803,52175730,265.65,266.10,90,75,292.41,,,
2023-12-08 13:36:43.748970,tf,NFO,39172,266.05,4.29,1702022803,52175730,265.65,266.10,90,75,292.41,,,
2023-12-08 13:36:43.922208,tf,NFO,39172,266.20,4.35,1702022803,,,,,,,,,
2023-12-08 13:36:43.922208,tf,NFO,39172,266.20,4.35,1702022803,,,,,,,,,
2023-12-08 13:36:45.750206,tf,NFO,39172,265.05,3.90,1702022805,52185930,265.05,265.60,150,210,,,,
2023-12-08 13:36:45.750206,tf,NFO,39172,265.05,3.90,1702022805,52185930,265.05,265.60,150,210,,,,
2023-12-08 13:36:45.922101,tf,NFO,39172,264.65,3.74,1702022805,,,,,,,,,
2023-12-08 13:36:45.923099,tf,NFO,39172,264.65,3.74,1702022805,,,,,,,,,
2023-12-08 13:36:46.752584,tf,NFO,39172,265.35,4.02,1702022806,52193985,264.95,265.45,330,90,292.40,,,
2023-12-08 13:36:46.753583,tf,NFO,39172,265.35,4.02,1702022806,52193985,264.95,265.45,330,90,292.40,,,
2023-12-08 13:36:46.924476,tf,NFO,39172,264.90,3.84,1702022806,,,,,,,,,
2023-12-08 13:36:46.925477,tf,NFO,39172,264.90,3.84,1702022806,,,,,,,,,
2023-12-08 13:36:47.751961,tf,NFO,39172,265.10,3.92,1702022807,52199370,265.20,265.70,,105,,,,
2023-12-08 13:36:47.752962,tf,NFO,39172,265.10,3.92,1702022807,52199370,265.20,265.70,,105,,,,
2023-12-08 13:36:47.923854,tf,NFO,39172,267.00,4.66,1702022807,,,,,,,,,
2023-12-08 13:36:47.933849,tf,NFO,39172,267.00,4.66,1702022807,,,,,,,,,
2023-12-08 13:36:48.752341,tf,NFO,39172,266.85,4.61,1702022808,52202115,266.95,267.45,165,15,,,,
2023-12-08 13:36:48.752341,tf,NFO,39172,266.85,4.61,1702022808,52202115,266.95,267.45,165,15,,,,
2023-12-08 13:36:48.925233,tf,NFO,39172,266.55,4.49,1702022808,,,,,,,,,
