timestamp,t,e,tk,lp,pc,ft,v,bq1,sq1,bp1,sp1,ap,l,oi,_id
2023-09-27 09:18:37.661603,tf,NFO,59198,131.05,-37.06,1695786517,2598150,75,255,,,,,,
2023-09-27 09:18:38.849932,tf,NFO,59198,131.45,-36.86,1695786518,2603520,1080,30,131.15,131.45,,,,
2023-09-27 09:18:39.654039,tf,NFO,59198,132.10,-36.55,1695786519,,,,,,,,,
2023-09-27 09:18:40.051826,tf,NFO,59198,131.85,-36.67,1695786519,2606820,45,15,131.65,131.85,129.63,,,
2023-09-27 09:18:40.448484,tf,NFO,59198,131.95,-36.62,1695786520,2608230,30,195,,131.90,,,,
2023-09-27 09:18:40.655325,tf,NFO,59198,131.55,-36.82,1695786520,,,,,,,,,
2023-09-27 09:18:41.457336,tf,NFO,59198,131.40,-36.89,1695786521,2612055,15,75,131.45,131.60,,,,
2023-09-27 09:18:41.654889,tf,NFO,59198,131.50,-36.84,1695786521,,,,,,,,,
2023-09-27 09:18:42.655684,tf,NFO,59198,132.15,-36.53,1695786522,,,,,,,,,
2023-09-27 09:18:43.656406,tf,NFO,59198,131.55,-36.82,1695786523,,,,,,,,,
2023-09-27 09:18:44.655559,tf,NFO,59198,131.50,-36.84,1695786524,,,,,,,,,
2023-09-27 09:18:44.860900,tf,NFO,59198,131.40,-36.89,1695786524,2645850,60,15,130.95,131.15,129.66,,,
2023-09-27 09:18:45.655516,tf,NFO,59198,130.65,-37.25,1695786525,,,,,,,,,
2023-09-27 09:18:46.060625,tf,NFO,59198,130.15,-37.49,1695786525,2651790,4305,75,130.00,130.25,,,,
2023-09-27 09:18:46.458635,tf,NFO,59198,129.40,-37.85,1695786526,2657445,150,360,129.45,129.70,,,,
2023-09-27 09:18:46.653791,tf,NFO,59198,129.55,-37.78,1695786526,,,,,,,,,
2023-09-27 09:18:47.656447,tf,NFO,59198,129.05,-38.02,1695786527,,,,,,,,,
2023-09-27 09:18:48.657481,tf,NFO,59198,128.65,-38.21,1695786528,,,,,,,,,
2023-09-27 09:18:49.657943,tf,NFO,59198,129.25,-37.92,1695786529,,,,,,,,,
2023-09-27 09:18:49.864391,tf,NFO,59198,128.95,-38.06,1695786529,2687700,630,15,128.70,128.95,,,,
2023-09-27 09:18:50.659065,tf,NFO,59198,129.55,-37.78,1695786530,,,,,,,,,
2023-09-27 09:18:51.064631,tf,NFO,59198,128.90,-38.09,1695786530,2695860,240,510,128.90,129.20,,,,
2023-09-27 09:18:51.656506,tf,NFO,59198,129.05,-38.02,1695786531,,,,,,,,,
2023-09-27 09:18:52.471487,tf,NFO,59198,130.45,-37.34,1695786532,2706330,45,,130.25,130.45,,,,
2023-09-27 09:18:52.657481,tf,NFO,59198,130.20,-37.46,1695786532,,,,,,,,,
2023-09-27 09:18:53.657650,tf,NFO,59198,130.15,-37.49,1695786533,,,,,,,,,
2023-09-27 09:18:53.670823,tf,NFO,59198,129.90,-37.61,1695786533,2712090,435,90,129.90,130.20,,,,
2023-09-27 09:18:54.659930,tf,NFO,59198,130.45,-37.34,1695786534,,,,,,,,,
2023-09-27 09:18:54.874210,tf,NFO,59198,129.90,-37.61,1695786534,2721735,60,45,129.70,129.95,,,,
2023-09-27 09:18:55.857984,tf,NFO,59198,130.05,-37.54,1695786535,,,,,,,,,
2023-09-27 09:18:56.074487,tf,NFO,59198,130.70,-37.22,1695786535,2728425,195,105,130.55,130.70,,,,
2023-09-27 09:18:56.470908,tf,NFO,59198,130.45,-37.34,1695786536,2728950,540,120,130.15,130.45,,,,
2023-09-27 09:18:56.659678,tf,NFO,59198,130.20,-37.46,1695786536,,,,,,,,,
2023-09-27 09:18:57.475070,tf,NFO,59198,130.30,-37.42,1695786537,2731275,165,600,130.10,130.30,,,,
2023-09-27 09:18:57.658295,tf,NFO,59198,130.00,-37.56,1695786537,,,,,,,,,
2023-09-27 09:18:58.659163,tf,NFO,59198,129.25,-37.92,1695786538,,,,,,,,,
2023-09-27 09:18:59.659112,tf,NFO,59198,128.40,-38.33,1695786539,,,,,,,,,
2023-09-27 09:18:59.875097,tf,NFO,59198,128.65,-38.21,1695786539,2752785,30,15,128.50,128.60,,,,
2023-09-27 09:19:00.659723,tf,NFO,59198,129.45,-37.82,1695786540,,,,,,,,,
2023-09-27 09:19:00.882073,tf,NFO,59198,129.15,-37.97,1695786540,2758650,285,30,129.05,129.30,,,,
2023-09-27 09:19:01.660313,tf,NFO,59198,129.85,-37.63,1695786541,,,,,,,,,
2023-09-27 09:19:02.081670,tf,NFO,59198,129.60,-37.75,1695786541,2767215,75,60,129.60,129.80,,,,
2023-09-27 09:19:02.482693,tf,NFO,59198,129.50,-37.80,1695786542,2769885,300,75,129.55,129.75,,,,
