Label,Timestamp,Value,Difference
YES,2023-12-07 09:35:00,398.5,
seven,2023-12-07 09:35:00,433.95,
NO,2023-12-07 09:40:00,401.67499999999995,-3.1749999999999545
RED,2023-12-07 09:45:00,379.3625,
NO,2023-12-07 10:00:00,384.275,34.72500000000002
RED,2023-12-07 10:05:00,379.6875,
NO,2023-12-07 11:15:00,559.8625,14.1875
RED,2023-12-07 11:20:00,535.2625,
NO,2023-12-07 12:05:00,513.6125,8.287500000000023
NO,2023-12-07 12:45:00,525.1625,4.7374999999999545
RED,2023-12-07 12:50:00,521.1875,
NO,2023-12-07 13:20:00,515.875,0.9249999999999545
NO,2023-12-07 13:40:00,537.15,22.700000000000045
RED,2023-12-07 13:45:00,538.125,
NO,2023-12-07 14:10:00,514.4875,40.512500000000045
RED,2023-12-07 14:15:00,507.3375,
NO,2023-12-07 14:35:00,534.8125,1.1875
RED,2023-12-07 14:40:00,531.825,
