timestamp,t,e,tk,lp,pc,ft,v,sp1,bq1,sq1,bp1,ap,oi,l,_id
2023-12-08 10:28:26.482825,tf,NFO,39169,237.30,-29.51,1702011506,,,,,,,,,
2023-12-08 10:28:26.806128,tf,NFO,39169,236.55,-29.73,1702011506,14032110,236.65,75,165,,,,,
2023-12-08 10:28:27.473325,tf,NFO,39169,238.05,-29.29,1702011507,,,,,,,,,
2023-12-08 10:28:28.009725,tf,NFO,39169,237.70,-29.39,1702011508,14033355,237.75,315,345,237.30,,,,
2023-12-08 10:28:28.474618,tf,NFO,39169,237.75,-29.38,1702011508,,,,,,,,,
2023-12-08 10:28:29.475737,tf,NFO,39169,237.65,-29.41,1702011509,,,,,,,,,
2023-12-08 10:28:29.806737,tf,NFO,39169,237.90,-29.33,1702011509,14033985,237.80,300,150,237.35,,,,
2023-12-08 10:28:30.476117,tf,NFO,39169,236.70,-29.69,1702011510,,,,,,,,,
2023-12-08 10:28:31.007800,tf,NFO,39169,237.00,-29.60,1702011511,14035155,237.00,165,15,236.60,275.06,,,
2023-12-08 10:28:31.477040,tf,NFO,39169,236.65,-29.70,1702011511,,,,,,,,,
2023-12-08 10:28:32.477847,tf,NFO,39169,238.00,-29.30,1702011512,,,,,,,,,
2023-12-08 10:28:33.479028,tf,NFO,39169,240.00,-28.71,1702011513,,,,,,,,,
2023-12-08 10:28:33.610891,tf,NFO,39169,239.00,-29.01,1702011513,14036055,239.50,135,225,238.95,,,,
2023-12-08 10:28:34.479471,tf,NFO,39169,238.40,-29.18,1702011514,,,,,,,,,
2023-12-08 10:28:34.616570,tf,NFO,39169,239.05,-28.99,1702011514,14036565,238.65,300,210,238.20,,,,
2023-12-08 10:28:35.480579,tf,NFO,39169,237.95,-29.32,1702011515,,,,,,,,,
2023-12-08 10:28:35.817337,tf,NFO,39169,238.40,-29.18,1702011515,14036775,238.20,30,45,237.80,,,,
2023-12-08 10:28:36.480743,tf,NFO,39169,238.35,-29.20,1702011516,,,,,,,,,
2023-12-08 10:28:36.615160,tf,NFO,39169,239.45,-28.87,1702011516,14038080,239.45,45,180,239.10,275.05,,,
2023-12-08 10:28:37.482282,tf,NFO,39169,238.30,-29.21,1702011517,,,,,,,,,
2023-12-08 10:28:38.482857,tf,NFO,39169,240.00,-28.71,1702011518,,,,,,,,,
2023-12-08 10:28:39.483588,tf,NFO,39169,239.70,-28.80,1702011519,,,,,,,,,
2023-12-08 10:28:39.623692,tf,NFO,39169,239.00,-29.01,1702011519,14040540,239.15,60,30,238.95,,,,
2023-12-08 10:28:40.485428,tf,NFO,39169,238.90,-29.04,1702011520,,,,,,,,,
2023-12-08 10:28:40.824680,tf,NFO,39169,238.95,-29.02,1702011520,14042265,238.85,105,300,238.45,275.04,,,
2023-12-08 10:28:41.484724,tf,NFO,39169,238.80,-29.07,1702011521,,,,,,,,,
2023-12-08 10:28:42.024389,tf,NFO,39169,237.65,-29.41,1702011522,14043315,237.85,240,135,237.55,,,,
2023-12-08 10:28:42.486230,tf,NFO,39169,237.45,-29.47,1702011522,,,,,,,,,
2023-12-08 10:28:43.486117,tf,NFO,39169,236.95,-29.62,1702011523,,,,,,,,,
2023-12-08 10:28:43.629293,tf,NFO,39169,237.65,-29.41,1702011523,14044500,237.35,30,30,236.95,,,,
2023-12-08 10:28:44.487493,tf,NFO,39169,236.75,-29.67,1702011524,,,,,,,,,
2023-12-08 10:28:44.830571,tf,NFO,39169,236.55,-29.73,1702011524,14044800,236.55,285,75,236.10,,,,
2023-12-08 10:28:45.487981,tf,NFO,39169,236.25,-29.82,1702011525,,,,,,,,,
2023-12-08 10:28:46.032118,tf,NFO,39169,235.55,-30.03,1702011526,14046300,235.70,30,15,235.45,275.03,,,
2023-12-08 10:28:46.489112,tf,NFO,39169,234.70,-30.28,1702011526,,,,,,,,,
2023-12-08 10:28:47.033591,tf,NFO,39169,235.25,-30.12,1702011527,14050455,235.25,45,180,235.05,275.02,,,
2023-12-08 10:28:47.489169,tf,NFO,39169,235.40,-30.08,1702011527,,,,,,,,,
2023-12-08 10:28:48.034687,tf,NFO,39169,234.85,-30.24,1702011528,14051265,235.15,15,15,234.85,,,,
2023-12-08 10:28:48.490217,tf,NFO,39169,235.25,-30.12,1702011528,,,,,,,,,
2023-12-08 10:28:48.632587,tf,NFO,39169,234.90,-30.22,1702011528,14051775,235.05,30,120,,,,,
2023-12-08 10:28:49.490799,tf,NFO,39169,234.55,-30.33,1702011529,,,,,,,,,
2023-12-08 10:28:50.492028,tf,NFO,39169,234.80,-30.25,1702011530,,,,,,,,,
2023-12-08 10:28:50.840206,tf,NFO,39169,235.15,-30.15,1702011530,14053320,235.30,780,30,234.85,275.01,,,
2023-12-08 10:28:51.492298,tf,NFO,39169,234.60,-30.31,1702011531,,,,,,,,,
2023-12-08 10:28:52.493218,tf,NFO,39169,234.10,-30.46,1702011532,,,,,,,,,
