Label,Timestamp,Value,Difference
YES,2023-12-08 10:55:00,207.6,
seven,2023-12-08 10:55:00,219.7,
NO,2023-12-08 11:10:00,229.775,37.07500000000002
RED,2023-12-08 11:15:00,192.52500000000003,
YES,2023-12-08 11:40:00,198.05,
NO,2023-12-08 12:05:00,204.4625,0.6374999999999886
RED,2023-12-08 12:10:00,206.64999999999998,
YES,2023-12-08 12:20:00,219.4,
seven,2023-12-08 12:20:00,241.35,
NO,2023-12-08 12:25:00,219.2125,0.1875
RED,2023-12-08 12:30:00,214.0125,
YES,2023-12-08 12:40:00,220.7,
seven,2023-12-08 12:40:00,239.15,
NO,2023-12-08 12:55:00,242.175,13.925000000000011
YES,2023-12-08 13:05:00,296.2,
seven,2023-12-08 13:05:00,307.95,
NO,2023-12-08 13:10:00,260.9375,35.26249999999999
RED,2023-12-08 13:15:00,242.95,
