timestamp,t,e,tk,lp,pc,ft,ap,v,bp1,sp1,bq1,sq1,oi,h,l,_id
,tf,NFO,64012,424.15,26.33,1703044639,430.02,480630,422.50,423.40,345,75,,,,
,tf,NFO,64012,423.30,26.08,1703044640,,,,,,,,,,
,tf,NFO,64012,424.65,26.48,1703044641,,,,,,,,,,
,tf,NFO,64012,424.10,26.31,1703044642,,,,,,,,,,
,tf,NFO,64012,424.15,26.33,1703044642,430.00,482085,423.15,424.15,75,150,,,,
,tf,NFO,64012,424.25,26.36,1703044643,,,,,,,,,,
,tf,NFO,64012,422.85,25.94,1703044644,429.99,483360,422.60,423.70,45,15,,,,
,tf,NFO,64012,422.25,25.76,1703044644,,,,,,,,,,
,tf,NFO,64012,422.00,25.69,1703044645,,,,,,,,,,
,tf,NFO,64012,423.65,26.18,1703044645,,483480,423.20,424.05,75,45,,,,
,tf,NFO,64012,422.10,25.72,1703044646,,,,,,,,,,
,tf,NFO,64012,421.40,25.51,1703044647,,,,,,,,,,
,tf,NFO,64012,422.05,25.70,1703044647,429.96,484860,421.20,422.25,105,330,,,,
,tf,NFO,64012,421.05,25.41,1703044648,,,,,,,,,,
,tf,NFO,64012,422.05,25.70,1703044649,,,,,,,,,,
,tf,NFO,64012,422.90,25.96,1703044650,,,,,,,,,,
,tf,NFO,64012,423.70,26.20,1703044650,429.95,486060,423.00,423.75,45,75,,,,
,tf,NFO,64012,423.15,26.03,1703044651,,,,,,,,,,
,tf,NFO,64012,423.30,26.08,1703044652,,,,,,,,,,
,tf,NFO,64012,422.85,25.94,1703044652,429.94,486285,423.10,423.95,15,150,,,,
,tf,NFO,64012,423.80,26.22,1703044653,,,,,,,,,,
,tf,NFO,64012,423.75,26.21,1703044654,,486330,423.90,424.25,240,105,,,,
,tf,NFO,64012,423.65,26.18,1703044655,,,,,,,,,,
,tf,NFO,64012,424.15,26.33,1703044655,,486555,422.90,424.10,15,195,,,,
,tf,NFO,64012,424.45,26.42,1703044657,,,,,,,,,,
,tf,NFO,64012,423.75,26.21,1703044658,,,,,,,,,,
,tf,NFO,64012,423.75,26.21,1703044658,,,,,,,,,,
,tf,NFO,64012,423.70,26.20,1703044659,,,,,,,,,,
,tf,NFO,64012,423.70,26.20,1703044659,,,,,,,,,,
,tf,NFO,64012,424.00,26.28,1703044660,,,,,,,,,,
,tf,NFO,64012,424.00,26.28,1703044660,,,,,,,,,,
,tf,NFO,64012,423.25,26.06,1703044660,,487515,423.25,424.30,195,165,,,,
,tf,NFO,64012,423.25,26.06,1703044660,,487515,423.25,424.30,195,165,,,,
,tf,NFO,64012,423.50,26.14,1703044661,,,,,,,,,,
,tf,NFO,64012,423.50,26.14,1703044661,,,,,,,,,,
,tf,NFO,64012,418.05,24.51,1703044662,,,,,,,,,,
,tf,NFO,64012,418.05,24.51,1703044662,,,,,,,,,,
,tf,NFO,64012,418.00,24.50,1703044662,429.87,490455,417.85,418.80,75,30,,,,
,tf,NFO,64012,418.00,24.50,1703044662,429.87,490455,417.85,418.80,75,30,,,,
,tf,NFO,64012,418.40,24.62,1703044663,,,,,,,,,,
,tf,NFO,64012,418.40,24.62,1703044663,,,,,,,,,,
,tf,NFO,64012,418.65,24.69,1703044664,429.84,491640,417.60,418.60,90,120,,,,
,tf,NFO,64012,418.65,24.69,1703044664,429.84,491640,417.60,418.60,90,120,,,,
,tf,NFO,64012,420.05,25.11,1703044664,,,,,,,,,,
,tf,NFO,64012,420.05,25.11,1703044664,,,,,,,,,,
,tf,NFO,64012,418.35,24.60,1703044665,,,,,,,,,,
,tf,NFO,64012,418.35,24.60,1703044665,,,,,,,,,,
,tf,NFO,64012,417.40,24.32,1703044666,,,,,,,,,,
,tf,NFO,64012,417.40,24.32,1703044666,,,,,,,,,,
,tf,NFO,64012,417.15,24.24,1703044667,,,,,,,,,,
,tf,NFO,64012,417.15,24.24,1703044667,,,,,,,,,,
,tf,NFO,64012,417.55,24.36,1703044667,429.76,495135,416.20,417.15,15,45,,,,
,tf,NFO,64012,417.55,24.36,1703044667,429.76,495135,416.20,417.15,15,45,,,,
,tf,NFO,64012,417.25,24.27,1703044668,,,,,,,,,,
,tf,NFO,64012,417.25,24.27,1703044668,,,,,,,,,,
,tf,NFO,64012,415.70,23.81,1703044669,429.75,495405,415.65,416.50,60,15,,,,
,tf,NFO,64012,415.70,23.81,1703044669,429.75,495405,415.65,416.50,60,15,,,,
,tf,NFO,64012,415.50,23.75,1703044670,429.71,496830,415.10,416.10,,30,,,,
,tf,NFO,64012,415.50,23.75,1703044670,429.71,496830,415.10,416.10,,30,,,,
,tf,NFO,64012,414.15,23.35,1703044671,,,,,,,,,,
,tf,NFO,64012,414.15,23.35,1703044671,,,,,,,,,,
,tf,NFO,64012,416.50,24.05,1703044672,,,,,,,,,,
,tf,NFO,64012,416.50,24.05,1703044672,,,,,,,,,,
,tf,NFO,64012,418.15,24.54,1703044674,429.68,497940,417.40,418.35,15,45,,,,
,tf,NFO,64012,418.15,24.54,1703044674,429.68,497940,417.40,418.35,15,45,,,,
,tf,NFO,64012,418.20,24.56,1703044675,,,,,,,,,,
,tf,NFO,64012,418.20,24.56,1703044675,,,,,,,,,,
,tf,NFO,64012,416.50,24.05,1703044676,,,,,,,,,,
,tf,NFO,64012,416.50,24.05,1703044676,,,,,,,,,,
,tf,NFO,64012,417.75,24.42,1703044677,,,,,,,,,,
,tf,NFO,64012,417.75,24.42,1703044677,,,,,,,,,,
,tf,NFO,64012,418.75,24.72,1703044678,,,,,,,,,,
,tf,NFO,64012,418.75,24.72,1703044678,,,,,,,,,,
,tf,NFO,64012,417.90,24.47,1703044679,,498540,419.75,420.70,45,15,,,,
,tf,NFO,64012,417.90,24.47,1703044679,,498540,419.75,420.70,45,15,,,,
,tf,NFO,64012,419.75,25.02,1703044679,,,,,,,,,,
,tf,NFO,64012,419.75,25.02,1703044679,,,,,,,,,,
,tf,NFO,64012,421.30,25.48,1703044680,,,,,,,,,,
,tf,NFO,64012,421.30,25.48,1703044680,,,,,,,,,,
,tf,NFO,64012,421.10,25.42,1703044680,429.64,499815,421.05,422.05,15,150,,,,
,tf,NFO,64012,421.10,25.42,1703044680,429.64,499815,421.05,422.05,15,150,,,,
,tf,NFO,64012,420.00,25.09,1703044681,,,,,,,,,,
,tf,NFO,64012,420.00,25.09,1703044681,,,,,,,,,,
,tf,NFO,64012,418.90,24.77,1703044682,,,,,,,,,,
,tf,NFO,64012,418.90,24.77,1703044682,,,,,,,,,,
,tf,NFO,64012,419.05,24.81,1703044682,429.60,501825,417.95,419.00,45,15,,,,
,tf,NFO,64012,419.05,24.81,1703044682,429.60,501825,417.95,419.00,45,15,,,,
,tf,NFO,64012,418.45,24.63,1703044683,,,,,,,,,,
,tf,NFO,64012,418.45,24.63,1703044683,,,,,,,,,,
,tf,NFO,64012,418.70,24.71,1703044684,429.57,503175,418.60,419.65,,210,,,,
,tf,NFO,64012,418.70,24.71,1703044684,429.57,503175,418.60,419.65,,210,,,,
,tf,NFO,64012,419.65,24.99,1703044684,,,,,,,,,,
,tf,NFO,64012,419.65,24.99,1703044684,,,,,,,,,,
,tf,NFO,64012,420.00,25.09,1703044685,,,,,,,,,,
,tf,NFO,64012,420.00,25.09,1703044685,,,,,,,,,,
,tf,NFO,64012,419.25,24.87,1703044686,,,,,,,,,,
,tf,NFO,64012,419.25,24.87,1703044686,,,,,,,,,,
,tf,NFO,64012,419.80,25.03,1703044687,,,,,,,,,,
,tf,NFO,64012,419.80,25.03,1703044687,,,,,,,,,,
,tf,NFO,64012,421.00,25.39,1703044688,,,,,,,,,,
,tf,NFO,64012,421.00,25.39,1703044688,,,,,,,,,,
,tf,NFO,64012,422.65,25.88,1703044689,,503805,421.35,422.40,15,390,,,,
,tf,NFO,64012,422.65,25.88,1703044689,,503805,421.35,422.40,15,390,,,,
,tf,NFO,64012,420.05,25.11,1703044690,,,,,,,,,,
,tf,NFO,64012,420.05,25.11,1703044690,,,,,,,,,,
,tf,NFO,64012,421.00,25.39,1703044690,429.54,504990,420.10,420.85,45,120,,,,
,tf,NFO,64012,421.00,25.39,1703044690,429.54,504990,420.10,420.85,45,120,,,,
,tf,NFO,64012,421.05,25.41,1703044691,,,,,,,,,,
,tf,NFO,64012,421.05,25.41,1703044691,,,,,,,,,,
,tf,NFO,64012,420.00,25.09,1703044693,,,,,,,,,,
,tf,NFO,64012,420.00,25.09,1703044693,,,,,,,,,,
,tf,NFO,64012,420.30,25.18,1703044695,,,,,,,,,,
,tf,NFO,64012,420.30,25.18,1703044695,,,,,,,,,,
,tf,NFO,64012,419.80,25.03,1703044695,429.50,507270,419.05,420.05,45,255,,,,
,tf,NFO,64012,419.80,25.03,1703044695,429.50,507270,419.05,420.05,45,255,,,,
,tf,NFO,64012,419.90,25.06,1703044696,,,,,,,,,,
,tf,NFO,64012,419.90,25.06,1703044696,,,,,,,,,,
,tf,NFO,64012,419.60,24.97,1703044697,,,,,,,,,,
,tf,NFO,64012,419.60,24.97,1703044697,,,,,,,,,,
,tf,NFO,64012,420.00,25.09,1703044698,,,,,,,,,,
,tf,NFO,64012,420.00,25.09,1703044698,,,,,,,,,,
,tf,NFO,64012,419.85,25.05,1703044699,,507450,419.05,420.00,105,,,,,
,tf,NFO,64012,419.85,25.05,1703044699,,507450,419.05,420.00,105,,,,,
,tf,NFO,64012,419.05,24.81,1703044699,,,,,,,,,,
,tf,NFO,64012,419.05,24.81,1703044699,,,,,,,,,,
,tf,NFO,64012,421.00,25.39,1703044700,429.49,507525,420.05,420.90,60,90,,,,
,tf,NFO,64012,421.00,25.39,1703044700,429.49,507525,420.05,420.90,60,90,,,,
,tf,NFO,64012,421.05,25.41,1703044701,,,,,,,,,,
,tf,NFO,64012,421.05,25.41,1703044701,,,,,,,,,,
,tf,NFO,64012,421.55,25.55,1703044702,,,,,,,,,,
,tf,NFO,64012,421.55,25.55,1703044702,,,,,,,,,,
,tf,NFO,64012,421.35,25.50,1703044702,429.48,508125,420.40,421.50,,180,,,,
,tf,NFO,64012,421.35,25.50,1703044702,429.48,508125,420.40,421.50,,180,,,,
,tf,NFO,64012,421.45,25.52,1703044703,,,,,,,,,,
,tf,NFO,64012,421.45,25.52,1703044703,,,,,,,,,,
,tf,NFO,64012,420.05,25.11,1703044704,,508230,419.20,419.90,45,90,,,,
,tf,NFO,64012,420.05,25.11,1703044704,,508230,419.20,419.90,45,90,,,,
,tf,NFO,64012,419.20,24.85,1703044705,,,,,,,,,,
,tf,NFO,64012,419.20,24.85,1703044705,,,,,,,,,,
,tf,NFO,64012,420.50,25.24,1703044706,,,,,,,,,,
,tf,NFO,64012,420.50,25.24,1703044706,,,,,,,,,,
,tf,NFO,64012,420.80,25.33,1703044707,,,,,,,,,,
,tf,NFO,64012,420.80,25.33,1703044707,,,,,,,,,,
,tf,NFO,64012,422.00,25.69,1703044709,,,,,,,,,,
,tf,NFO,64012,422.00,25.69,1703044709,,,,,,,,,,
,tf,NFO,64012,422.20,25.75,1703044709,,,,,,,,,,
,tf,NFO,64012,422.20,25.75,1703044709,,,,,,,,,,
,tf,NFO,64012,423.10,26.02,1703044710,,,,,,,,,,
,tf,NFO,64012,423.10,26.02,1703044710,,,,,,,,,,
,tf,NFO,64012,424.55,26.45,1703044710,429.46,510675,424.25,424.85,90,120,,,,
,tf,NFO,64012,424.55,26.45,1703044710,429.46,510675,424.25,424.85,90,120,,,,
,tf,NFO,64012,423.95,26.27,1703044711,,,,,,,,,,
,tf,NFO,64012,423.95,26.27,1703044711,,,,,,,,,,
,tf,NFO,64012,424.35,26.39,1703044712,,,,,,,,,,
,tf,NFO,64012,424.35,26.39,1703044712,,,,,,,,,,
,tf,NFO,64012,425.00,26.58,1703044713,,,,,,,,,,
,tf,NFO,64012,425.00,26.58,1703044713,,,,,,,,,,
,tf,NFO,64012,426.20,26.94,1703044714,,510915,425.05,426.10,,150,,,,
,tf,NFO,64012,426.20,26.94,1703044714,,510915,425.05,426.10,,150,,,,
,tf,NFO,64012,427.05,27.19,1703044715,,,,,,,,,,
,tf,NFO,64012,427.05,27.19,1703044715,,,,,,,,,,
,tf,NFO,64012,427.60,27.36,1703044715,,511110,426.50,427.50,30,165,,,,
