timestamp,t,e,tk,lp,pc,ft,v,bp1,sp1,bq1,sq1,ap,oi,l,_id
2023-12-07 09:23:14.760957,tf,NFO,39142,282.75,40.85,1701921194,2018670,282.10,282.50,15,15,,,,
2023-12-07 09:23:14.849752,tf,NFO,39142,282.50,40.72,1701921194,,,,,,,,,
2023-12-07 09:23:15.748441,tf,NFO,39142,284.15,41.54,1701921195,2020185,283.85,284.20,30,,,,,
2023-12-07 09:23:16.049488,tf,NFO,39142,284.25,41.59,1701921196,,,,,,,,,
2023-12-07 09:23:16.148473,tf,NFO,39142,284.75,41.84,1701921196,2021370,284.00,284.55,15,30,,,,
2023-12-07 09:23:17.153999,tf,NFO,39142,283.90,41.42,1701921197,2023755,283.50,284.05,,15,280.97,,,
2023-12-07 09:23:17.851530,tf,NFO,39142,283.35,41.15,1701921197,,,,,,,,,
2023-12-07 09:23:18.353140,tf,NFO,39142,284.20,41.57,1701921198,2025105,284.20,284.60,90,,,,,
2023-12-07 09:23:18.853246,tf,NFO,39142,283.60,41.27,1701921198,,,,,,,,,
2023-12-07 09:23:19.553315,tf,NFO,39142,282.90,40.92,1701921199,2026470,282.45,282.90,15,,,,,
2023-12-07 09:23:20.053517,tf,NFO,39142,283.00,40.97,1701921200,,,,,,,,,
2023-12-07 09:23:20.559121,tf,NFO,39142,282.70,40.82,1701921200,2028600,282.20,282.70,30,135,,,,
2023-12-07 09:23:20.853818,tf,NFO,39142,282.85,40.90,1701921200,,,,,,,,,
2023-12-07 09:23:21.854674,tf,NFO,39142,282.65,40.80,1701921201,,,,,,,,,
2023-12-07 09:23:22.158138,tf,NFO,39142,283.15,41.05,1701921202,2032230,282.65,283.15,15,15,280.98,,,
2023-12-07 09:23:23.055381,tf,NFO,39142,283.10,41.02,1701921203,,,,,,,,,
2023-12-07 09:23:23.359459,tf,NFO,39142,282.90,40.92,1701921203,2034600,282.15,282.55,,30,,,,
2023-12-07 09:23:23.856127,tf,NFO,39142,283.10,41.02,1701921203,,,,,,,,,
2023-12-07 09:23:24.159675,tf,NFO,39142,282.20,40.57,1701921204,2036070,282.20,,,180,,,,
2023-12-07 09:23:24.857553,tf,NFO,39142,282.60,40.77,1701921204,,,,,,,,,
2023-12-07 09:23:25.162822,tf,NFO,39142,282.25,40.60,1701921205,2038245,282.25,282.75,30,30,,,,
2023-12-07 09:23:25.857452,tf,NFO,39142,282.20,40.57,1701921205,,,,,,,,,
2023-12-07 09:23:26.361531,tf,NFO,39142,282.00,40.47,1701921206,2042520,282.00,282.50,420,,,,,
2023-12-07 09:23:27.058333,tf,NFO,39142,281.60,40.27,1701921207,,,,,,,,,
2023-12-07 09:23:27.368584,tf,NFO,39142,278.35,38.66,1701921207,2054625,277.90,278.40,30,60,,,,
2023-12-07 09:23:27.859132,tf,NFO,39142,276.50,37.73,1701921207,,,,,,,636525,,
2023-12-07 09:23:28.168947,tf,NFO,39142,276.05,37.51,1701921208,2056995,276.00,276.60,285,285,280.97,,,
2023-12-07 09:23:29.059677,tf,NFO,39142,276.10,37.53,1701921209,,,,,,,,,
2023-12-07 09:23:29.370532,tf,NFO,39142,277.55,38.26,1701921209,2060160,277.15,277.60,15,30,280.96,,,
2023-12-07 09:23:29.859757,tf,NFO,39142,277.10,38.03,1701921209,,,,,,,,,
2023-12-07 09:23:30.570451,tf,NFO,39142,275.60,37.29,1701921210,2063970,275.80,276.20,75,15,280.95,,,
2023-12-07 09:23:30.860081,tf,NFO,39142,276.05,37.51,1701921210,,,,,,,,,
2023-12-07 09:23:31.772020,tf,NFO,39142,275.85,37.41,1701921211,2068320,275.35,275.85,30,210,280.94,,,
2023-12-07 09:23:32.060833,tf,NFO,39142,275.90,37.43,1701921212,,,,,,,,,
2023-12-07 09:23:32.772169,tf,NFO,39142,276.95,37.96,1701921212,2073240,277.10,277.40,60,120,280.93,,,
2023-12-07 09:23:32.862500,tf,NFO,39142,277.10,38.03,1701921212,,,,,,,,,
2023-12-07 09:23:33.172406,tf,NFO,39142,276.80,37.88,1701921213,2073705,276.00,276.55,120,75,,,,
2023-12-07 09:23:33.861530,tf,NFO,39142,274.90,36.94,1701921213,,,,,,,,,
2023-12-07 09:23:34.177019,tf,NFO,39142,275.35,37.16,1701921214,2075055,275.00,275.40,15,45,,,,
2023-12-07 09:23:35.062244,tf,NFO,39142,273.55,36.26,1701921215,,,,,,,,,
2023-12-07 09:23:35.376722,tf,NFO,39142,274.65,36.81,1701921215,2090325,274.10,274.55,,15,280.88,,,
2023-12-07 09:23:35.863472,tf,NFO,39142,274.55,36.76,1701921215,,,,,,,,,
2023-12-07 09:23:36.177596,tf,NFO,39142,274.70,36.84,1701921216,2093340,275.00,275.30,30,,280.87,,,
2023-12-07 09:23:36.863322,tf,NFO,39142,277.05,38.01,1701921216,,,,,,,,,
2023-12-07 09:23:37.181279,tf,NFO,39142,276.55,37.76,1701921217,2096655,276.05,276.60,105,165,280.86,,,
2023-12-07 09:23:37.863913,tf,NFO,39142,276.30,37.63,1701921217,,,,,,,,,
2023-12-07 09:23:38.379058,tf,NFO,39142,274.90,36.94,1701921218,2100660,275.10,275.60,15,30,280.85,,,
2023-12-07 09:23:38.864284,tf,NFO,39142,276.10,37.53,1701921218,,,,,,,,,
2023-12-07 09:23:39.383714,tf,NFO,39142,276.80,37.88,1701921219,2102655,276.20,276.50,,135,,,,
2023-12-07 09:23:40.064344,tf,NFO,39142,277.65,38.31,1701921220,,,,,,,,,
2023-12-07 09:23:40.582296,tf,NFO,39142,277.45,38.21,1701921220,2104035,277.90,278.45,30,285,,,,
2023-12-07 09:23:40.865600,tf,NFO,39142,277.70,38.33,1701921220,,,,,,,,,
2023-12-07 09:23:41.588433,tf,NFO,39142,278.45,38.70,1701921221,2107455,278.00,278.40,15,15,280.84,,,
2023-12-07 09:23:41.866439,tf,NFO,39142,278.55,38.75,1701921221,,,,,,,,,
2023-12-07 09:23:42.788867,tf,NFO,39142,279.20,39.08,1701921222,2109240,279.20,279.65,,,,,,
2023-12-07 09:23:42.866943,tf,NFO,39142,279.80,39.38,1701921222,,,,,,,,,
2023-12-07 09:23:43.188312,tf,NFO,39142,279.90,39.43,1701921223,2109750,279.40,279.80,,60,,,,
2023-12-07 09:23:44.067319,tf,NFO,39142,279.15,39.05,1701921224,,,,,,,,,
2023-12-07 09:23:44.193006,tf,NFO,39142,279.40,39.18,1701921224,2110485,278.95,279.35,150,30,,,,
2023-12-07 09:23:44.867054,tf,NFO,39142,280.00,39.48,1701921224,,,,,,,,,
2023-12-07 09:23:45.394016,tf,NFO,39142,279.85,39.40,1701921225,2112855,,279.50,30,,,,,
2023-12-07 09:23:45.868071,tf,NFO,39142,280.15,39.55,1701921225,,,,,,,,,
2023-12-07 09:23:46.594794,tf,NFO,39142,278.25,38.61,1701921226,2115015,278.45,278.85,90,15,,,,
2023-12-07 09:23:46.868445,tf,NFO,39142,279.40,39.18,1701921226,,,,,,,,,
2023-12-07 09:23:47.795637,tf,NFO,39142,277.10,38.03,1701921227,2115990,276.80,277.30,15,150,,,,
2023-12-07 09:23:48.195103,tf,NFO,39142,277.55,38.26,1701921228,2116095,,277.35,,120,,,,
2023-12-07 09:23:49.068923,tf,NFO,39142,279.00,38.98,1701921229,,,,,,,,,
2023-12-07 09:23:49.200016,tf,NFO,39142,279.55,39.25,1701921229,2116695,279.00,279.45,105,90,,,,
2023-12-07 09:23:49.869301,tf,NFO,39142,277.80,38.38,1701921229,,,,,,,,,
2023-12-07 09:23:50.398480,tf,NFO,39142,277.40,38.18,1701921230,2118135,277.05,277.60,45,30,280.83,,,
2023-12-07 09:23:51.403763,tf,NFO,39142,278.30,38.63,1701921231,2118780,277.55,278.05,,60,,,,
