timestamp,t,e,tk,lp,pc,ft,ap,v,bp1,sp1,bq1,sq1,oi,_id
2023-11-02 11:55:04.390310,tf,NFO,40707,265.95,3.95,1698906298,,,,,,,,
2023-11-02 11:55:04.473798,tf,NFO,40707,264.85,3.52,1698906299,389.52,8053080,264.85,265.30,105,300,,
2023-11-02 11:55:04.478796,tf,NFO,40707,265.85,3.91,1698906299,,,,,,,,
2023-11-02 11:55:04.486140,tf,NFO,40707,265.65,3.83,1698906300,389.51,8053875,265.15,265.40,30,15,,
2023-11-02 11:55:04.493202,tf,NFO,40707,264.85,3.52,1698906300,,,,,,,,
2023-11-02 11:55:04.500868,tf,NFO,40707,265.05,3.60,1698906301,389.49,8054925,264.55,264.80,,45,,
2023-11-02 11:55:04.507553,tf,NFO,40707,265.80,3.89,1698906301,,,,,,,,
2023-11-02 11:55:04.514189,tf,NFO,40707,266.85,4.30,1698906302,389.43,8059125,266.50,266.90,,,,
2023-11-02 11:55:04.519174,tf,NFO,40707,266.55,4.18,1698906302,,,,,,,,
2023-11-02 11:55:04.527822,tf,NFO,40707,269.95,5.51,1698906303,389.39,8061330,269.50,269.65,,135,,
2023-11-02 11:55:04.533402,tf,NFO,40707,269.80,5.45,1698906303,,,,,,,,
2023-11-02 11:55:04.594582,tf,NFO,40707,271.20,6.00,1698906304,389.33,8065995,270.80,271.25,105,30,,
2023-11-02 11:55:05.973321,tf,NFO,40707,271.35,6.06,1698906305,,,,,,,,
2023-11-02 11:55:05.982214,tf,NFO,40707,272.15,6.37,1698906305,389.25,8071440,271.60,272.15,30,105,,
2023-11-02 11:55:06.189569,tf,NFO,40707,271.30,6.04,1698906305,389.21,8073690,271.50,272.05,165,135,,
2023-11-02 11:55:06.703616,tf,NFO,40707,272.05,6.33,1698906306,,,,,,,,
2023-11-02 11:55:07.194442,tf,NFO,40707,272.15,6.37,1698906306,389.19,8075415,271.65,272.15,45,105,,
2023-11-02 11:55:07.702465,tf,NFO,40707,272.70,6.59,1698906307,,,,,,,,
2023-11-02 11:55:08.398268,tf,NFO,40707,272.40,6.47,1698906308,389.16,8077095,271.90,272.40,285,75,,
2023-11-02 11:55:08.703750,tf,NFO,40707,272.10,6.35,1698906308,,,,,,,,
2023-11-02 11:55:09.647311,tf,NFO,40707,273.10,6.74,1698906309,389.12,8080320,272.80,273.35,30,180,,
2023-11-02 11:55:09.703207,tf,NFO,40707,273.55,6.92,1698906309,,,,,,,,
2023-11-02 11:55:10.197573,tf,NFO,40707,272.75,6.61,1698906309,389.06,8084625,272.20,272.60,180,150,,
2023-11-02 11:55:10.782252,tf,NFO,40707,271.85,6.25,1698906310,,,,,,,,
2023-11-02 11:55:11.195985,tf,NFO,40707,272.20,6.39,1698906310,389.02,8086860,272.05,272.55,,15,,
2023-11-02 11:55:11.704482,tf,NFO,40707,272.90,6.66,1698906311,,,,,,,,
2023-11-02 11:55:23.895917,tf,NFO,40707,275.60,7.72,1698906323,388.31,8137860,275.65,276.15,180,30,,
2023-11-02 11:55:23.910417,tf,NFO,40707,276.00,7.88,1698906323,,,,,,,,
